dataset,column_name,data_type,row_count,null_count,null_percentage,unique_count,sample_values,minimum,maximum,mean
Detailed Listings,id,int64,3097,0,0.0,3097,71609 | 71896 | 71903,71609.0,1.7168778693595476e+18,6.873474153054423e+17
Detailed Listings,listing_url,str,3097,0,0.0,3097,https://www.airbnb.com/rooms/71609 | https://www.airbnb.com/rooms/71896 | https://www.airbnb.com/rooms/71903,,,
Detailed Listings,scrape_id,int64,3097,0,0.0,1,20260629151954,20260629151954.0,20260629151954.0,20260629151954.0
Detailed Listings,last_scraped,str,3097,0,0.0,3,2026-07-02 | 2026-06-29 | 2026-06-30,,,
Detailed Listings,source,str,3097,0,0.0,2,previous scrape | city scrape,,,
Detailed Listings,name,str,3097,0,0.0,3002,Ensuite Room (Room 1 & 2) near EXPO | B&B  Room 1 near Airport & EXPO | Room 2-near Airport & EXPO,,,
Detailed Listings,description,str,3097,179,5.78,1946,"For 3 rooms.Book room 1&2 and room 4 | Like your own home, 24hrs access. | I have 3 bedrooms  in a charming British style townhouse for you and your family while you are visiting Singapore . This is the GREEN ROOM .<br />https://www.airbnb.co.uk/rooms/294281 <br /> Be sure to look at the other 2 rooms .<br /><br />BURGUNDY ROOM(https://www.airbnb.co.uk/rooms/369141   )<br />BLUE ROOM (https://www.airbnb.co.uk/rooms/369145)",,,
Detailed Listings,neighborhood_overview,float64,3097,3097,100.0,1,,,,
Detailed Listings,picture_url,str,3097,3,0.1,2911,https://a0.muscache.com/pictures/24453191/35803acb_original.jpg | https://a0.muscache.com/pictures/2440674/ac4f4442_original.jpg | https://a0.muscache.com/pictures/568743/7bc623e9_original.jpg,,,
Detailed Listings,host_id,int64,3097,0,0.0,762,367042 | 1521514 | 1975201,218232.0,1.706906098815334e+18,8806882167576681.0
Detailed Listings,host_url,str,3097,0,0.0,762,https://www.airbnb.com/users/show/367042 | https://www.airbnb.com/users/show/1521514 | https://www.airbnb.com/users/show/1975201,,,
Detailed Listings,host_profile_id,float64,3097,59,1.91,734,1.462516725725391e+18 | 1.4625186372111946e+18 | 1.4625831873675064e+18,1.4625129226910062e+18,1.716722757589107e+18,1.470872534894245e+18
Detailed Listings,host_profile_url,str,3097,69,2.23,743,https://www.airbnb.com/users/profile/1462516725725391209 | https://www.airbnb.com/users/profile/1462518637211194506 | https://www.airbnb.com/users/profile/1462583187367506541,,,
Detailed Listings,host_name,str,3097,59,1.91,627,Belinda | Elizbeth | Adi,,,
Detailed Listings,host_since,float64,3097,3097,100.0,1,,,,
Detailed Listings,hosts_time_as_user_years,float64,3097,59,1.91,17,15.0 | 14.0 | 13.0,0.0,15.0,8.0
Detailed Listings,hosts_time_as_user_months,float64,3097,59,1.91,13,5.0 | 6.0 | 3.0,0.0,11.0,5.88
Detailed Listings,hosts_time_as_host_years,float64,3097,59,1.91,17,15.0 | 14.0 | 13.0,0.0,15.0,7.29
Detailed Listings,hosts_time_as_host_months,float64,3097,59,1.91,13,5.0 | 6.0 | 3.0,0.0,11.0,5.79
Detailed Listings,host_location,str,3097,1155,37.29,33,"Singapore | Barcelona, Spain | Berlin, Germany",,,
Detailed Listings,host_about,str,3097,1129,36.45,350,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda | Hello !
I am Elizabeth from Singapore.

Looking forward to hosting you in our lovely little sunny island. | I like travelling a lot, as well as good food. 

Singapore is not only a place for the future, but has an incredible rich history, which I think people should know about. Contact me if you have any questions!",,,
Detailed Listings,host_response_time,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_response_rate,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_acceptance_rate,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_is_superhost,str,3097,59,1.91,3,f | t,,,
Detailed Listings,host_thumbnail_url,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_picture_url,str,3097,59,1.91,723,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/1975201/profile_pic/1407484173/original.jpg?aki_policy=profile_x_medium,,,
Detailed Listings,host_neighbourhood,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_listings_count,float64,3097,59,1.91,44,6.0 | 7.0 | 1.0,1.0,492.0,66.93
Detailed Listings,host_total_listings_count,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_verifications,float64,3097,3097,100.0,1,,,,
Detailed Listings,host_has_profile_pic,str,3097,59,1.91,3,t | f,,,
Detailed Listings,host_identity_verified,str,3097,59,1.91,3,t | f,,,
Detailed Listings,neighbourhood,float64,3097,3097,100.0,1,,,,
Detailed Listings,neighbourhood_cleansed,str,3097,0,0.0,42,Tampines | Newton | River Valley,,,
Detailed Listings,neighbourhood_group_cleansed,str,3097,0,0.0,5,East Region | Central Region | North-East Region,,,
Detailed Listings,latitude,float64,3097,0,0.0,2404,1.34537 | 1.34754 | 1.34531,1.22272,1.4578019855396456,1.31
Detailed Listings,longitude,float64,3097,0,0.0,2452,103.95887 | 103.95958 | 103.961,103.63457,103.9851761,103.84
Detailed Listings,property_type,str,3097,0,0.0,42,Private room in villa | Private room in home | Private room in rental unit,,,
Detailed Listings,room_type,str,3097,0,0.0,4,Private room | Entire home/apt | Hotel room,,,
Detailed Listings,accommodates,int64,3097,0,0.0,14,2 | 1 | 4,1.0,16.0,2.74
Detailed Listings,bathrooms,float64,3097,1945,62.8,15,1.0 | 1.5 | 2.0,0.5,13.0,1.29
Detailed Listings,bathrooms_text,str,3097,10,0.32,39,1 private bath | Shared half-bath | 1 shared bath,,,
Detailed Listings,bedrooms,float64,3097,1141,36.84,9,2.0 | 1.0 | 3.0,0.0,7.0,1.44
Detailed Listings,beds,float64,3097,1807,58.35,14,1.0 | 8.0 | 3.0,1.0,22.0,1.7
Detailed Listings,amenities,str,3097,0,0.0,2201,"[""Hangers"", ""BBQ grill"", ""Shared hot tub"", ""Cooking basics"", ""Long term stays allowed"", ""Free parking on premises"", ""Keypad"", ""Shampoo"", ""Air conditioning"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Wifi"", ""Fire extinguisher"", ""Hair dryer"", ""Outdoor dining area"", ""Free street parking"", ""Private entrance"", ""Iron"", ""Dryer"", ""Hot water"", ""Children\u2019s books and toys"", ""Smoke alarm""] | [""Dishes and silverware"", ""Drying rack for clothing"", ""Hangers"", ""Lock on bedroom door"", ""BBQ grill"", ""Shared hot tub"", ""Cooking basics"", ""Free parking on premises"", ""Keypad"", ""Coffee maker"", ""Shampoo"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Paid parking on premises"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Cleaning products"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Outdoor dining area"", ""Free street parking"", ""Shower gel"", ""Iron"", ""Dryer"", ""Bed linens"", ""Hot water"", ""Private entrance"", ""AC - split type ductless system"", ""Smoke alarm""] | [""Lock on bedroom door"", ""BBQ grill"", ""Shared hot tub"", ""Cooking basics"", ""Free parking on premises"", ""Keypad"", ""Coffee maker"", ""Shampoo"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Self check-in"", ""Kitchen"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Outdoor dining area"", ""Free street parking"", ""Dryer"", ""Hot water"", ""AC - split type ductless system"", ""Smoke alarm""]",,,
Detailed Listings,price,str,3097,505,16.31,1901,$31.71 | $14.66 | $26.24,,,
Detailed Listings,price_quote_checkin_date,str,3097,310,10.01,138,2026-07-03 | 2026-07-10 | 2026-08-01,,,
Detailed Listings,price_quote_checkout_date,str,3097,310,10.01,194,2026-10-03 | 2026-10-10 | 2026-11-01,,,
Detailed Listings,price_quote_total_price,float64,3097,505,16.31,2004,2917.0 | 1348.49 | 2414.0,7.0,434212.0,3653.13
Detailed Listings,price_quote_price_per_night,float64,3097,505,16.31,1901,31.71 | 14.66 | 26.24,0.08,13000.0,204.02
