year_number,month_number,month_name,calendar_observations,available_days,unavailable_days,availability_rate_percentage,occupancy_proxy_percentage
2026,6,June,2605,398.0,2207.0,15.28,84.72
2026,7,July,98716,63325.0,35391.0,64.15,35.85
2026,8,August,100657,83202.0,17455.0,82.66,17.34
2026,9,September,97410,84166.0,13244.0,86.4,13.6
2026,10,October,100657,81133.0,19524.0,80.6,19.4
2026,11,November,97410,82411.0,14999.0,84.6,15.4
2026,12,December,100657,80527.0,20130.0,80.0,20.0
2027,1,January,100657,80250.0,20407.0,79.73,20.27
2027,2,February,90916,72375.0,18541.0,79.61,20.39
2027,3,March,100657,78702.0,21955.0,78.19,21.81
2027,4,April,97410,69750.0,27660.0,71.6,28.4
2027,5,May,100657,72409.0,28248.0,71.94,28.06
2027,6,June,94805,66572.0,28233.0,70.22,29.78
2027,7,July,1941,1245.0,696.0,64.14,35.86
