year_number,month_number,month_name,review_count,listings_reviewed,unique_reviewers,average_review_length
2011,5,May,2,1,2,459.5
2011,7,July,1,1,1,546.0
2011,8,August,3,2,3,433.0
2011,9,September,2,1,2,598.0
2011,10,October,1,1,1,662.0
2011,11,November,1,1,1,96.0
2011,12,December,1,1,1,77.0
2012,1,January,2,2,2,440.0
2012,3,March,4,3,4,362.25
2012,4,April,6,3,6,389.0
2012,5,May,8,4,8,476.75
2012,6,June,9,4,9,277.89
2012,7,July,12,5,12,523.25
2012,8,August,10,5,10,695.2
2012,9,September,11,5,11,534.0
2012,10,October,10,5,10,488.5
2012,11,November,10,6,8,511.7
2012,12,December,6,4,6,553.17
2013,1,January,15,7,15,826.33
2013,2,February,15,7,13,587.67
2013,3,March,14,8,14,634.29
2013,4,April,12,6,12,395.33
2013,5,May,15,6,14,432.87
2013,6,June,18,8,18,474.06
2013,7,July,13,9,13,480.08
2013,8,August,15,9,15,287.33
2013,9,September,17,10,17,398.24
2013,10,October,22,10,21,394.68
2013,11,November,10,8,10,367.1
2013,12,December,17,7,16,425.06
2014,1,January,16,11,16,329.94
2014,2,February,16,9,16,619.13
2014,3,March,18,11,18,347.83
2014,4,April,18,11,18,450.89
2014,5,May,15,9,15,426.0
2014,6,June,18,9,17,379.28
2014,7,July,15,8,14,402.8
2014,8,August,16,12,15,491.81
2014,9,September,25,11,25,442.24
2014,10,October,24,14,24,420.96
2014,11,November,21,17,21,547.95
2014,12,December,35,17,35,417.34
2015,1,January,37,19,37,339.49
2015,2,February,24,16,24,481.96
2015,3,March,26,19,25,468.88
2015,4,April,37,20,37,511.11
2015,5,May,44,26,44,450.41
2015,6,June,59,26,59,336.53
2015,7,July,45,24,44,372.44
2015,8,August,66,32,65,430.59
2015,9,September,62,28,62,359.98
2015,10,October,60,32,60,342.98
2015,11,November,53,23,51,328.13
2015,12,December,76,36,74,351.54
2016,1,January,105,41,103,380.71
2016,2,February,78,33,78,378.97
2016,3,March,89,35,88,372.7
2016,4,April,93,38,87,418.47
2016,5,May,93,41,92,310.0
2016,6,June,86,37,85,347.14
2016,7,July,145,58,145,294.39
2016,8,August,143,55,142,280.32
2016,9,September,114,46,109,271.88
2016,10,October,128,49,124,334.29
2016,11,November,97,38,96,239.62
2016,12,December,148,78,147,271.56
2017,1,January,169,64,167,259.34
2017,2,February,185,70,183,277.28
2017,3,March,171,68,165,236.5
2017,4,April,198,84,196,247.88
2017,5,May,188,69,184,233.73
2017,6,June,169,60,167,268.44
2017,7,July,235,82,230,258.62
2017,8,August,239,86,236,225.62
2017,9,September,209,79,208,242.56
2017,10,October,208,78,207,239.67
2017,11,November,162,70,160,258.98
2017,12,December,208,90,208,225.94
2018,1,January,243,101,242,218.71
2018,2,February,210,99,209,244.66
2018,3,March,225,92,222,281.05
2018,4,April,241,100,236,234.65
2018,5,May,280,99,274,220.09
